,Incident Zip,Latitude,Longitude,Unique
138,11233,40.68531381,-73.91939551,2678
139,11234,40.61216322,-73.92033024,665
140,11235,40.57693501,-73.95956337,885
141,11236,40.65595349,-73.89921934,762
142,11237,40.69927082,-73.92318701,1939
143,11238,40.67408325,-73.96532662,3414
144,11239,40.65677344,-73.86857589,17
145,11241,40.69344422,-73.99057727,1
146,11242,40.69324386,-73.99066024,1
147,11249,40.72027275,-73.95869356,513
148,11354,40.76538767,-73.83338069,275
149,11355,40.74694842,-73.82776789,322
150,11356,40.79359764,-73.84688582,107
151,11357,40.79857621,-73.82180126,387
152,11358,40.75250918,-73.80692784,175
153,11360,40.78818269,-73.7794187,55
154,11361,40.7645529,-73.78361592,214
155,11362,40.75173344,-73.73797508,51
156,11363,40.77384327,-73.74198957,23
157,11364,40.73787989,-73.76297163,74
158,11365,40.74171723,-73.78252808,121
159,11366,40.72760961,-73.79474014,59
160,11367,40.72286352,-73.81905622,165
161,11368,40.75013151,-73.85507748,748
162,11369,40.76316348,-73.87617412,237
163,11370,40.76015601,-73.89642659,248
164,11371,40.77722886,-73.8723568,1
165,11372,40.75052979,-73.89299478,647
166,11373,40.73345683,-73.88663196,741
167,11374,40.73442922,-73.85764107,392
168,11375,40.72492458,-73.84729254,322
169,11377,40.74714845,-73.90248107,1163
170,11378,40.72113481,-73.90719819,552
171,11379,40.7245327,-73.87768902,507
172,11385,40.70789648,-73.89409118,2135
173,11411,40.70198061,-73.7447923,126
174,11412,40.69716775,-73.75688827,596
175,11413,40.67491883,-73.74435148,328
176,11414,40.66693803,-73.85539882,218
177,11415,40.70570713,-73.83440269,85
178,11416,40.68592638,-73.84282425,254
179,11417,40.67948498,-73.83927374,444
180,11418,40.70076294,-73.82455841,362
181,11419,40.68738082,-73.81155874,450
182,11420,40.68256527,-73.82111254,439
183,11421,40.68507137,-73.86323063,240
184,11422,40.66457537,-73.73776956,144
185,11423,40.72038337,-73.76097393,232
186,11426,40.74251088,-73.72153009,140
187,11427,40.73650338,-73.73824787,93
188,11428,40.71556493,-73.74747463,92
189,11429,40.7025967,-73.74911066,255
190,11430,40.64391915,-73.78309547,13
191,11432,40.70774884,-73.78738195,569
192,11433,40.69540274,-73.7785897,765
193,11434,40.6807121,-73.79149901,583
194,11435,40.69925692,-73.80627061,654
195,11436,40.67110234,-73.80063502,311
196,11691,40.60079522,-73.75555386,315
197,11692,40.58913085,-73.78786403,92
198,11693,40.58548005,-73.81816835,77
199,11694,40.58290489,-73.82132908,100
200,11697,40.56696355,-73.89216945,2
201,83,40.77376758,-73.96609068,26
202,nan,40.87601183,-73.88059245,427
